<id_igagss_1xk_1abgrgo>	<Katherine_LaNasa>	<wasBornOnDate>	"1966-12-01"^^xsd:date	1966.1201
<id_tzv7zr_1xk_dmh1gl>	<Tirrel_Burton>	<wasBornOnDate>	"1930-##-##"^^xsd:date	1930.0000
<id_1baw7m6_1xk_wx51y8>	<Julian_Prochnow>	<wasBornOnDate>	"1986-07-01"^^xsd:date	1986.0701
<id_120he4m_1xk_uvxof8>	<Glen_Smith_(cricketer)>	<wasBornOnDate>	"1973-##-##"^^xsd:date	1973.0000
<id_g4hse4_1xk_18krw28>	<Jack_Offer>	<wasBornOnDate>	"1908-##-##"^^xsd:date	1908.0000
<id_3qen6t_siu_2dab5b>	<Beacon_Towers>	<wasCreatedOnDate>	"1918-##-##"^^xsd:date	1918.0000
<id_1fa92r6_1xk_klrhvg>	<James_C._Shannon>	<wasBornOnDate>	"1896-07-21"^^xsd:date	1896.0721
<id_hn0fcv_u5f_18hzrvj>	<Wolfpack_(video_game)>	<happenedOnDate>	"1990-##-##"^^xsd:date	1990.0000
<id_t1z0j4_1b1_9mnzzq>	<Bout-du-Pont-de-Larn>	<hasArea>	"7630000.0"^^<m^2>	7630000.0
<id_35upgd_siu_vy9v6y>	<Passiflora_arbelaezii>	<wasCreatedOnDate>	"1957-##-##"^^xsd:date	1957.0000
<id_1hd0lux_jto_1llhcj4>	<Birchwood_Airport>	<hasLongitude>	"-149.5"^^<degrees>	-149.5
<id_km7rog_l7i_zjghc8>	<Saint-Robert,_Quebec>	<hasNumberOfPeople>	"1713"^^xsd:nonNegativeInteger	1713
<id_1gtn2n_1ug_1iey6f>	<William_H._Woodin>	<diedOnDate>	"1934-05-03"^^xsd:date	1934.0503
<id_l55t7_1xk_t28eo2>	<John_B._Kimble>	<wasBornOnDate>	"1960-##-##"^^xsd:date	1960.0000
<id_s798bi_1ql_12jutk2>	<Barren_Grounds_Bird_Observatory>	<wasDestroyedOnDate>	"2004-##-##"^^xsd:date	2004.0000
<id_1oayxww_1ug_1o8q8va>	<Ranuccio_Bianchi_Bandinelli>	<diedOnDate>	"1975-##-##"^^xsd:date	1975.0000
<id_ku60uf_u5f_1vwne04>	<Ka-Glom!>	<happenedOnDate>	"2006-##-##"^^xsd:date	2006.0000
<id_196sib_siu_4f6ki2>	<Brigadier_Lethbridge-Stewart>	<wasCreatedOnDate>	"1968-##-##"^^xsd:date	1968.0000
<id_60fdy4_1n8_10aspq9>	<Mazajan>	<hasLatitude>	"27.083333333333332"^^<degrees>	27.083333333333332
<id_1kgjj0l_wo8_wd7wfm>	<Richard_Haughton_(rugby_union)>	<hasWeight>	"88000.0"^^<g>	88000.0
<id_1crkve4_jto_1g9t0jx>	<Dallas_Township,_Dallas_County,_Iowa>	<hasLongitude>	"-94.23166666666667"^^<degrees>	-94.23166666666667
<id_1sswcs5_1xk_tlei1x>	<Michael_Norman_(cricketer)>	<wasBornOnDate>	"1952-##-##"^^xsd:date	1952.0000
